SA2_CODE,Parents_Born_Overseas,Parents_POB_Parent_Code,obsValue
119011354,Total,NA,21828
119011354,Both parents born overseas,TOT,12759
119011354,Father only born overseas,TOT,1842
119011354,Mother only born overseas,TOT,883
119011354,Both parents born in Australia,TOT,4848
119011354,Not stated - birthplace for either or both parents not stated,TOT,1492
119011355,Total,NA,900
119011355,Both parents born overseas,TOT,699
119011355,Father only born overseas,TOT,28
119011355,Mother only born overseas,TOT,26
119011355,Both parents born in Australia,TOT,65
119011355,Not stated - birthplace for either or both parents not stated,TOT,83
119011356,Total,NA,11309
119011356,Both parents born overseas,TOT,7588
119011356,Father only born overseas,TOT,881
119011356,Mother only born overseas,TOT,401
119011356,Both parents born in Australia,TOT,1808
119011356,Not stated - birthplace for either or both parents not stated,TOT,626
119011357,Total,NA,25964
119011357,Both parents born overseas,TOT,17850
119011357,Father only born overseas,TOT,2178
119011357,Mother only born overseas,TOT,1063
119011357,Both parents born in Australia,TOT,3292
119011357,Not stated - birthplace for either or both parents not stated,TOT,1584
119011358,Total,NA,16475
119011358,Both parents born overseas,TOT,8217
119011358,Father only born overseas,TOT,1074
119011358,Mother only born overseas,TOT,664
119011358,Both parents born in Australia,TOT,5615
119011358,Not stated - birthplace for either or both parents not stated,TOT,908
119011359,Total,NA,25788
119011359,Both parents born overseas,TOT,9530
119011359,Father only born overseas,TOT,1921
119011359,Mother only born overseas,TOT,1291
119011359,Both parents born in Australia,TOT,11887
119011359,Not stated - birthplace for either or both parents not stated,TOT,1166
119011360,Total,NA,16219
119011360,Both parents born overseas,TOT,8625
119011360,Father only born overseas,TOT,1088
119011360,Mother only born overseas,TOT,637
119011360,Both parents born in Australia,TOT,5031
119011360,Not stated - birthplace for either or both parents not stated,TOT,842
119011361,Total,NA,20706
119011361,Both parents born overseas,TOT,14066
119011361,Father only born overseas,TOT,1364
119011361,Mother only born overseas,TOT,704
119011361,Both parents born in Australia,TOT,3257
119011361,Not stated - birthplace for either or both parents not stated,TOT,1317
119011571,Total,NA,16237
119011571,Both parents born overseas,TOT,12719
119011571,Father only born overseas,TOT,738
119011571,Mother only born overseas,TOT,418
119011571,Both parents born in Australia,TOT,1090
119011571,Not stated - birthplace for either or both parents not stated,TOT,1262
119011572,Total,NA,15998
119011572,Both parents born overseas,TOT,12530
119011572,Father only born overseas,TOT,616
119011572,Mother only born overseas,TOT,397
119011572,Both parents born in Australia,TOT,1022
119011572,Not stated - birthplace for either or both parents not stated,TOT,1425
119021362,Total,NA,19037
119021362,Both parents born overseas,TOT,13142
119021362,Father only born overseas,TOT,1077
