School_name,Town_suburb,Postcode,School_gender,Level_of_schooling,Latitude,Longitude,SA2_Code
Mount Annan Christian College,Mount Annan,2567,Co-ed,Combined,-34.053009,150.774906,123011435
Aetaomah School,Terragon,2484,Co-ed,Primary,-28.444278,153.282663,112031252
Margaret Jurd College,Shortland,2307,Co-ed,Special,-32.913373,151.716531,111031225
Aspect South East Sydney School,Peakhurst,2210,Co-ed,Special,-33.972765,151.0559,119031372
RIDBC Thomas Pattison School,North Rocks,2151,Co-ed,Special,-33.767661,151.029206,125041490
Heritage College Lake Macquarie,Morisset,2264,Co-ed,Combined,-33.076659,151.431132,111021218
Blacktown Youth College Incorporated,Hebersham,2770,Co-ed,Combined,-33.737383,150.825972,116031313
Sathya Sai School,Murwillumbah,2484,Co-ed,Combined,-28.32779,153.393048,112031251
Kesser Torah College,Dover Heights,2030,Co-ed,Combined,-33.87225,151.282579,118011344
Xavier Catholic College Ballina,Skennars Head,2478,Co-ed,Secondary,-28.829698,153.600101,112011242
Holy Cross Primary School,Glenwood,2768,Co-ed,Primary,-33.736936,150.924047,116021309
Charlton Christian College,Fassifern,2283,Co-ed,Combined,-32.98898,151.5825,111021219
D.A.L.E. Christian School,Waratah,2298,Co-ed,Special,-32.904984,151.722303,111031234
Thomas More Christian Montessori School,Bega,2550,Co-ed,Primary,-36.687541,149.843108,101041019
The John Berne School,Lewisham,2049,Co-ed,Special,-33.89207,151.148243,120031394
St Philip's Christian College - Cessnock Campus,Nulkaba,2325,Co-ed,Combined,-32.843443,151.356084,106011108
Christadelphian Heritage College Sydney Inc,Kemps Creek,2178,Co-ed,Combined,-33.883478,150.791224,127011505
St Andrew's Christian School,Clarenza Via Grafton,2460,Co-ed,Combined,-29.701348,152.964903,104011081
St Andrews College,Marayong,2148,Co-ed,Secondary,-33.742284,150.886408,116011304
Clarence Valley Anglican School,Grafton,2460,Co-ed,Combined,-29.694117,152.932011,104011080
St Catherine of Siena Catholic Primary School,Prestons,2170,Co-ed,Primary,-33.952631,150.868678,127031600
Holy Spirit Catholic College,Lakemba,2195,Co-ed,Secondary,-33.921743,151.076591,119021573
Xavier College,Llandilo,2747,Co-ed,Secondary,-33.715072,150.728704,124031458
Liberty College,Tamworth,2340,Co-ed,Primary,-31.140827,150.924326,110041202
Muswellbrook Christian School,Muswellbrook,2333,Co-ed,Primary,-32.254363,150.893052,106041126
Australian Christian College: Marsden Park,Riverstone,2765,Co-ed,Combined,-33.678559,150.841762,116021312
Hunter Christian School,Mayfield,2304,Co-ed,Combined,-32.889971,151.738795,111031227
Medowie Christian School,Medowie,2318,Co-ed,Combined,-32.733917,151.853679,106031125
Key College,Redfern,2016,Co-ed,Combined,-33.891796,151.197932,117031335
Montgrove College,Orchard Hills,2748,Co-ed,Combined,-33.774826,150.714226,124031463
Bishop Tyrrell Anglican College,Fletcher,2287,Co-ed,Combined,-32.873346,151.646812,111031226
The Riverina Anglican College,Wagga Wagga,2650,Co-ed,Secondary,-35.068765,147.374657,113031268
St Mary and St Mina's Coptic Orthodox College,Bexley,2207,Co-ed,Combined,-33.946126,151.127346,119041376
Calrossy Anglican College - William Cowper Campus,Tamworth,2340,Co-ed,Combined,-31.061006,150.913352,110041203
"Dunlea Centre, Australia's Original Boys' Town",Engadine,2233,Co-ed,Secondary,-34.065036,151.008629,128021607
The Coast Christian School,Bensville,2251,Co-ed,Primary,-33.493631,151.390101,102011029
Holy Saviour School,Greenacre,2190,Co-ed,Primary,-33.911785,151.056407,119011357
Red Bend Catholic College,Forbes,2871,Co-ed,Secondary,-33.418419,148.02163,103021065
Kildare Catholic College,Wagga Wagga,2650,Co-ed,Secondary,-35.122634,147.363584,113031269
Arndell College,Oakville,2765,Co-ed,Combined,-33.620111,150.8504,115041301
Richard Johnson Anglican School,Oakhurst,2761,Co-ed,Combined,-33.743287,150.835651,116031315
Penrith Anglican College,Orchard Hills,2748,Co-ed,Combined,-33.783377,150.720781,124031463
Nowra Anglican College,Bomaderry,2541,Co-ed,Combined,-34.857265,150.599905,114011277
Thomas Hassall Anglican College,West Hoxton,2171,Co-ed,Combined,-33.918729,150.839747,127011597
St Peter's Catholic College,Tuggerah,2259,Co-ed,Secondary,-33.301912,151.413793,102021055
St Nicholas' Primary School,Tamworth,2340,Co-ed,Primary,-31.094048,150.937951,110041203
McCarthy Catholic College,Tamworth,2340,Co-ed,Secondary,-31.074671,150.919618,110041203
Trinity Catholic College,Goulburn,2580,Co-ed,Secondary,-34.753082,149.705539,101051539
Kindlehill School,Wentworth Falls,2782,Co-ed,Combined,-33.704508,150.374908,124011455
Rouse Hill Anglican College,Rouse Hill,2155,Co-ed,Combined,-33.684396,150.910679,116021312
Mater Dei Catholic College,Wagga Wagga,2650,Co-ed,Secondary,-35.106664,147.360594,113031270
St John's College,Lismore,2480,Co-ed,Secondary,-28.784184,153.300445,112021248
St Angela's Primary School,Castle Hill,2154,Co-ed,Primary,-33.717526,150.971927,115011557
Lumen Christi Catholic College,Pambula Beach,2549,Co-ed,Combined,-36.939092,149.899521,101041025
Reddam House,North Bondi,2026,Co-ed,Combined,-33.885307,151.276779,118011340
MacKillop Catholic College,Warnervale,2259,Co-ed,Combined,-33.243318,151.469158,102021056
Holy Family Primary School,Emerton,2770,Co-ed,Primary,-33.744627,150.805854,116031313
Holy Spirit Catholic Primary School,Carnes Hill,2171,Co-ed,Primary,-33.925689,150.849187,127011596
Barrenjoey Montessori School,Avalon,2107,Co-ed,Primary,-33.6325,151.333,122021420
St Columba Anglican School,Port Macquarie,2444,Co-ed,Combined,-31.46297,152.87838,108041164
Macleay Vocational College,South Kempsey,2440,Co-ed,Secondary,-31.098508,152.822931,108021155
Trinity Anglican College - Albury,Thurgoona,2640,Co-ed,Combined,-36.030741,146.984214,109011172
Macquarie Anglican Grammar School,Dubbo,2830,Co-ed,Combined,-32.249321,148.57428,105031102
St Hurmizd Assyrian Primary School,Greenfield Park,2176,Co-ed,Combined,-33.871267,150.891309,127021517
St Christopher's Catholic Primary School,Holsworthy,2173,Co-ed,Primary,-33.952119,150.951725,127031524
Green Valley Islamic College,Green Valley,2168,Co-ed,Combined,-33.898208,150.867092,127011594
Italian Bilingual School,Meadowbank,2112,Co-ed,Primary,-33.886895,151.156188,120021388
St Peter's Anglican College - Broulee,Broulee,2537,Co-ed,Combined,-35.841898,150.170365,101041021
John XXIII Catholic Primary School,Stanhope Gardens,2768,Co-ed,Primary,-33.705583,150.92702,116021310
St Mary's Primary School,Grafton,2460,Co-ed,Primary,-29.694692,152.935422,104011080
St Catherine's Catholic College,Singleton,2330,Co-ed,Combined,-32.559208,151.180419,106011112
Xavier High School,Albury,2640,Co-ed,Secondary,-36.062669,146.935126,109011173
St Mary's College,Gunnedah,2380,Co-ed,Secondary,-30.98,150.259969,110041199
Manning Valley Anglican College,Cundletown,2430,Co-ed,Combined,-31.898902,152.530176,108051169
Avondale School,Cooranbong,2265,Co-ed,Combined,-33.063698,151.464957,111021218
Wollondilly Anglican College,Tahmoor,2573,Co-ed,Combined,-34.229257,150.591102,123031447
Shellharbour Anglican College,Dunmore,2529,Co-ed,Combined,-34.594975,150.84644,107031141
Brightwaters Christian College,Brightwaters,2264,Co-ed,Primary,-33.111795,151.543076,111021216
Al Sadiq College,Greenacre,2190,Co-ed,Combined,-33.906744,151.025185,119011361
Lakes Grammar - An Anglican School,Warnervale,2259,Co-ed,Combined,-33.246315,151.450845,102021056
ALESCO Senior College,Cooks Hill,2300,Co-ed,Combined,-32.929363,151.768075,111031229
Corpus Christi Catholic High School,Oak Flats,2529,Co-ed,Secondary,-33.786338,151.032553,125021478
Clancy Catholic College,West Hoxton,2171,Co-ed,Secondary,-33.930213,150.844453,127011597
St Clare's Catholic High School,Hassall Grove,2761,Co-ed,Secondary,-33.734495,150.840445,116031315
St Agnes Catholic High School,Rooty Hill,2766,Co-ed,Secondary,-33.772175,150.846102,116031319
Loyola Senior High School,Mount Druitt,2770,Co-ed,Secondary,-33.768032,150.813967,116031317
Moama Anglican Grammar School,Moama,2731,Co-ed,Combined,-36.100468,144.75067,109031184
Australian Performing Arts Grammar School,Glebe,2037,Co-ed,Secondary,-33.874684,151.181453,117031331
St Mark's Catholic College,Stanhope Gardens,2768,Co-ed,Secondary,-33.705685,150.929069,116021310
Woodbury,Baulkham Hills,2153,Co-ed,Special,-33.764333,150.97966,115011290
Ebenezer Christian College,Prospect,2148,Co-ed,Combined,-33.806401,150.926511,116011308
Warakirri College,Fairfield,2165,Co-ed,Secondary,-33.814467,150.999558,125041492
Saint Mary MacKillop Colleges Limited,Wagga Wagga,2650,Co-ed,Combined,-35.110911,147.352081,113031270
Hunter Trade College,Telarah,2320,Co-ed,Secondary,-32.739603,151.537192,106021117
Newman Senior Technical College,Port Macquarie,2444,Co-ed,Secondary,-31.427003,152.870033,108041164
Orange Anglican Grammar School,Orange,2800,Co-ed,Combined,-33.280722,149.098433,103041077
Wollemi College,Werrington,2747,Male,Secondary,-33.7646,150.7553,124031462
Unity Grammar College,Austral,2179,Co-ed,Combined,-33.944694,150.802523,127011505
Mother Teresa Primary School,Westmead,2145,Co-ed,Primary,-33.803397,150.984154,125041491
Sydney Adventist School - Auburn,Auburn,2144,Co-ed,Primary,-33.8749,151.079,120031575
St Joseph's Regional College,Port Macquarie,2444,Co-ed,Secondary,-31.429396,152.898328,108041164
Bellfield College,Rossmore,2557,Co-ed,Combined,-33.941562,150.766599,127011505
Yeshiva College,Bondi,2026,Co-ed,Combined,-33.891831,151.259389,118011339
Trades Norwest Anglican Senior College,Glenwood,2768,Co-ed,Secondary,-33.7464,150.901,116011303
Pacific Coast Christian School,Tweed Heads South,2486,Co-ed,Combined,-28.197637,153.520713,112031552
Our Lady of the Angels Primary School,Kellyville,2155,Co-ed,Primary,-33.683958,150.933018,115041302
Saint Mary MacKillop College Albury,Jindera,2642,Co-ed,Combined,-35.951768,146.887464,109011175
Pacific Valley Christian School,Townsend,2463,Co-ed,Combined,-29.462867,153.217315,104011082
Lindfield Montessori Preschool,West Lindfield,2070,Co-ed,Primary,-33.777789,151.148357,121031408
WAYS Secondary,Bondi,2026,Co-ed,Secondary,-33.886915,151.279192,118011340
Cameragal Montessori School,Neutral Bay,2089,Co-ed,Primary,-33.8428,151.2078,121041417
Karuna Montessori School,Narraweena,2099,Co-ed,Primary,-33.74781,151.276408,122031424
Albury Wodonga Community College  Albury,Albury,2640,Co-ed,Secondary,-36.0897,146.9133,109011174
St Justin's Catholic Primary School,Oran Park,2570,Co-ed,Primary,-34.020017,150.742401,123011434
St Benedict's Catholic College,Oran Park,2570,Co-ed,Secondary,-34.025859,150.699271,127011506
Redfern Jarjum College,Redfern,2016,Co-ed,Primary,-33.892973,151.20261,117031335
Farmhouse Montessori School,North Balgowlah,2093,Co-ed,Primary,-33.783352,151.246409,122031430
Macquarie Grammar School,Sydney,2000,Co-ed,Secondary,-33.8701,151.205138,117031337
St Andrew's Cathedral Gawura School,Sydney,2000,Co-ed,Primary,-33.873934,151.205644,117031337
TLK Alesco School,Berkeley Vale,2261,Co-ed,Secondary,-33.34772,151.435601,102021047
ALESCO Illawarra,Wollongong,2500,Co-ed,Secondary,-34.430408,150.88851,107041548
Alpha Omega Senior College,Auburn,2144,Co-ed,Secondary,-33.850765,151.031329,125011582
Aspect Macarthur School,Cobbitty,2570,Co-ed,Special,-34.032094,150.705575,127011506
Aspect Riverina School,Albury,2640,Co-ed,Special,-36.084338,146.917576,109011174
St Andrew's Cathedral School,Sydney,2000,Co-ed,Combined,-33.873885,151.205524,117031337
Rosary Park Catholic School,Branxton,2335,Co-ed,Primary,-32.656321,151.347359,106011107
St Ambrose Catholic Primary School,Pottsville,2689,Co-ed,Primary,-28.39192,153.56294,112031253
Salamah College,Chester Hill,2162,Co-ed,Combined,-33.875947,151.005794,125031479
Al Hikma College,Lakemba,2195,Co-ed,Primary,-33.926124,151.081249,119021573
Pittwater House Schools,Collaroy,2097,Co-ed,Combined,-33.741707,151.29277,122031431
EDEN College,Macquarie Fields,2564,Co-ed,Secondary,-33.989261,150.891887,123021442
St Carthage's Primary School,Lismore,2480,Co-ed,Primary,-28.803682,153.284482,112021248
Good Samaritan Catholic Primary School,Fairy Meadow,2519,Co-ed,Primary,-34.39783,150.890116,107041144
Western Grammar School,Plumpton,2671,Co-ed,Combined,-33.74973,150.835912,116031315
St Brigid's Catholic College,Lake Munmorah,2259,Co-ed,Secondary,-33.187111,151.573255,102021050
ET Australia Secondary College,Gosford,2250,Co-ed,Secondary,-33.427621,151.342756,102011032
Wollongong Flexible Learning Centre,Towradgi,2518,Co-ed,Secondary,-34.38325,150.895325,107041144
Aurora Southern Highlands Steiner School,Bowral,2576,Co-ed,Primary,-34.471784,150.419022,114021284
International Football School,Kariong,2250,Co-ed,Combined,-33.429124,151.298282,102011033
Pal Buddhist School,Canley Vale,2166,Co-ed,Secondary,-33.887851,150.943881,127021513
Irfan College,Cecil Park,2178,Co-ed,Combined,-33.876415,150.825571,127021518
St Aloysius Catholic Primary School,Chisholm,2322,Co-ed,Primary,-32.7558,151.6332,106021118
Craig Davis College,Cordeaux Heights,2526,Co-ed,Secondary,-34.446484,150.830947,107011134
Ngaruki Gulgul,Kariong,2250,Co-ed,Secondary,-33.427649,151.290301,102011030
Western College Alesco Learning Centre,Dubbo,2830,Co-ed,Combined,-32.243946,148.618789,105031100
Australian International Academy  Kellyville Campus,Kellyville,2155,Co-ed,Combined,-33.697254,150.963129,115041302
Our Lady of the Assumption Catholic Primary School,North Strathfield,2137,Co-ed,Primary,-33.858,151.0864,120011384
St Mary's Flexible Learning Centre,St Mary's,2760,Co-ed,Secondary,-33.760372,150.775405,124051581
The Anglican School Googong,Googong,2620,Co-ed,Primary,-35.42238,149.23263,101021011
Pacific Hope School,Tweed Heads South,2486,Co-ed,Special,-28.197637,153.520713,112031552
Eileen O’Connor Catholic College,Lewisham,2049,Co-ed,Special,-33.892776,151.148653,120031394
New Hope School,Dural,2158,Co-ed,Special,-33.69576,151.03891,115021297
Eagle Arts and Vocational College,BLIGH PARK,2756,Co-ed,Secondary,-31.985556,141.467656,105021097
The Waranara Centre,Marrickville,2204,Co-ed,Secondary,-33.907792,151.148614,117021326
Kingdom Culture Christian School,Arncliffe,2205,Co-ed,Primary,-33.936132,151.138979,119041375
St Luke's Catholic College (Primary),MARSDEN PARK,2765,Co-ed,Primary,-33.69893,150.819333,116021312
Skillset Senior College,Mitchell,2795,Co-ed,Secondary,-33.43673,149.56417,103011058
International Chinese School,Chatswood,2067,Co-ed,Primary,-33.795121,151.177478,121011399
St Patrick's Catholic Primary School,MORTLAKE,2137,Co-ed,Primary,-33.8473272,151.1083142,120011383
St Anthony of Padua Catholic School,AUSTRAL,2179,Co-ed,Primary,-33.930688,150.810199,127011505
SEDA College,Redfern,2016,Co-ed,Secondary,-33.89496,151.201626,117031335
Al-Faisal College - Liverpool,Austral,2179,Co-ed,Combined,-33.90998,150.810256,127011505
Al-Faisal College - Campbelltown,Minto,2566,Co-ed,Combined,-34.02223,150.857622,123021443
D.A.L.E. Young Parents School,Waratah,2298,Co-ed,Secondary,-32.906787,151.723149,111031234
Pete's Place,Blacktown,2148,Co-ed,Secondary,-33.790439,150.900217,116011560
Cranbrook School,Rose Bay,2029,Male,Combined,-33.873565,151.265237,118011346
Knox Grammar School,Wahroonga,2076,Male,Combined,-33.718483,151.120906,121031412
Meriden School,Strathfield,2135,Female,Combined,-33.87384,151.091718,120031575
Newington College,Lindfield,2070,Male,Combined,-33.768823,151.172395,121031408
The Scots College,Bellevue Hill,2023,Male,Combined,-33.879915,151.253889,118011343
The Scots College,Kangaroo Valley,2577,Male,Combined,-34.728633,150.450948,114011272
Trinity Grammar School,Strathfield,2135,Male,Combined,-33.881995,151.091679,120031575
St George Christian School,Sans Souci,2219,Co-ed,Combined,-33.986826,151.134441,119041382
St Spyridon College,Maroubra,2035,Co-ed,Combined,-33.955014,151.244024,118021567
Santa Sabina College,Strathfield,2135,Co-ed,Combined,-33.877508,151.094737,120031575
Queenwood School for Girls Ltd,Mosman,2088,Female,Combined,-33.834768,151.242551,121041415
Coffs Harbour Christian Community School,Coffs Harbour,2450,Co-ed,Combined,-30.299792,153.120744,104021085
Sydney Church of England Co-Educational Grammar School  Redlands,Cremorne,2090,Co-ed,Combined,-33.832115,151.227214,121041413
St Gregory's Primary School,Queanbeyan,2620,Co-ed,Primary,-35.352722,149.240583,101021010
St Edward's Primary School,Tamworth,2340,Co-ed,Primary,-31.108784,150.914716,110041202
All Saints College,Maitland,2320,Co-ed,Secondary,-32.734305,151.559253,106021114
All Saints College,Lochinvar,2321,Co-ed,Secondary,-32.697761,151.45795,106021117
St Aloysius' College,Milsons Point,2061,Male,Combined,-33.846599,151.213707,121041416
Glenaeon Rudolf Steiner School,Castlecrag,2068,Co-ed,Combined,-33.802123,151.214896,121011402
Waverley College,Waverley,2024,Male,Combined,-33.900808,151.257624,118011341
Trinity Catholic College,Regents Park,2143,Co-ed,Secondary,-33.878902,151.027758,125011587
All Saints Greek Orthodox Grammar School,South Belmore,2192,Co-ed,Combined,-33.929323,151.095355,119021362
Lindisfarne Anglican School,Tweed Heads,2486,Co-ed,Combined,-28.195998,153.533599,112031552
Aspect South East Sydney School,Marrickville,2204,Co-ed,Special,-33.890544,151.215239,117031336
St Andrews College,Marayong,2148,Co-ed,Secondary,-33.748997,150.88958,116011304
St John Paul ll Catholic College (Schofields),Quakers Hill,2763,Co-ed,Secondary,-33.725727,150.88093,116021563
Amity College,Shellharbour,2529,Co-ed,Combined,-34.573432,150.864045,107031141
